iter	Passed	Remaining
1044	47271	43200
1045	47313	43151
1046	47353	43101
1047	47393	43052
1048	47434	43002
1049	47471	42950
1050	47514	42903
1051	47568	42865
1052	47610	42818
1053	47653	42770
1054	47694	42721
1055	47733	42670
1056	47793	42639
1057	47842	42596
1058	47892	42555
1059	47933	42506
1060	47973	42456
1061	48012	42406
1062	48050	42354
1063	48091	42305
1064	48133	42258
1065	48171	42206
1066	48213	42158
1067	48253	42108
1068	48292	42058
1069	48329	42006
1070	48370	41956
1071	48413	41909
1072	48454	41861
1073	48490	41808
1074	48529	41757
1075	48570	41709
1076	48613	41661
1077	48659	41617
1078	48710	41577
1079	48757	41534
1080	48799	41486
1081	48838	41435
1082	48876	41385
1083	48928	41345
1084	48978	41304
1085	49020	41256
1086	49060	41206
1087	49099	41156
1088	49137	41106
1089	49175	41055
1090	49215	41005
1091	49250	40951
1092	49293	40904
1093	49337	40859
1094	49390	40820
1095	49434	40774
1096	49475	40725
1097	49515	40676
1098	49558	40630
1099	49597	40579
1100	49637	40530
1101	49681	40484
1102	49717	40432
1103	49754	40380
1104	49805	40340
1105	49849	40294
1106	49894	40249
1107	49932	40198
1108	49968	40145
1109	50021	40107
1110	50070	40065
1111	50118	40022
1112	50156	39971
1113	50196	39923
1114	50240	39876
1115	50275	39824
1116	50314	39773
1117	50355	39725
1118	50396	39677
1119	50432	39625
1120	50471	39576
1121	50511	39526
1122	50551	39477
1123	50594	39431
1124	50631	39380
1125	50670	39330
1126	50710	39281
1127	50756	39237
1128	50794	39187
1129	50830	39134
1130	50867	39083
1131	50919	39044
1132	50963	38998
1133	51007	38953
1134	51046	38902
1135	51085	38853
1136	51126	38805
1137	51170	38760
1138	51220	38718
1139	51260	38670
1140	51299	38620
1141	51337	38570
1142	51376	38520
1143	51415	38472
1144	51458	38425
1145	51496	38375
1146	51535	38325
1147	51576	38277
1148	51615	38228
1149	51655	38180
1150	51692	38129
1151	51729	38078
1152	51769	38030
1153	51809	37981
1154	51846	37930
1155	51883	37880
1156	51921	37830
1157	51961	37782
1158	52011	37740
1159	52070	37706
1160	52122	37666
1161	52172	37625
1162	52213	37577
1163	52258	37532
1164	52305	37489
1165	52353	37447
1166	52392	37397
1167	52427	37345
1168	52466	37296
1169	52508	37249
1170	52560	37210
1171	52613	37170
1172	52672	37135
1173	52722	37094
1174	52764	37047
1175	52804	36999
1176	52852	36956
1177	52892	36907
1178	52930	36858
1179	52970	36809
1180	53011	36762
1181	53049	36712
1182	53088	36663
1183	53131	36617
1184	53180	36575
1185	53227	36532
1186	53268	36484
1187	53306	36435
1188	53346	36386
1189	53401	36348
1190	53454	36309
1191	53496	36262
1192	53536	36214
1193	53577	36167
1194	53616	36118
1195	53654	36068
1196	53694	36020
1197	53734	35972
1198	53775	35924
1199	53816	35877
1200	53846	35822
1201	53883	35773
1202	53920	35723
1203	53960	35674
1204	53999	35626
1205	54038	35577
1206	54080	35531
1207	54120	35483
1208	54158	35433
1209	54196	35384
1210	54236	35336
1211	54290	35297
1212	54341	35257
1213	54385	35211
1214	54423	35162
1215	54467	35117
1216	54518	35076
1217	54564	35032
1218	54602	34983
1219	54639	34933
1220	54673	34882
1221	54712	34833
1222	54752	34785
1223	54791	34737
1224	54827	34686
1225	54863	34636
1226	54902	34588
1227	54937	34537
1228	54974	34487
1229	55014	34440
1230	55052	34391
1231	55093	34343
1232	55131	34295
1233	55170	34246
1234	55208	34197
1235	55245	34148
1236	55283	34099
1237	55323	34052
1238	55368	34007
1239	55419	33966
1240	55463	33921
1241	55504	33874
1242	55544	33826
1243	55582	33778
1244	55631	33736
1245	55679	33693
1246	55724	33649
1247	55764	33601
1248	55802	33552
1249	55841	33504
1250	55879	33456
1251	55917	33407
1252	55955	33358
1253	55993	33310
1254	56030	33261
1255	56069	33213
1256	56107	33164
1257	56144	33115
1258	56183	33067
1259	56222	33019
1260	56257	32969
1261	56297	32922
1262	56340	32876
1263	56378	32827
1264	56409	32775
1265	56448	32727
1266	56490	32681
1267	56539	32639
1268	56586	32596
1269	56624	32547
1270	56663	32500
1271	56701	32451
1272	56749	32409
1273	56794	32364
1274	56837	32319
1275	56879	32273
1276	56920	32226
1277	56959	32178
1278	56995	32129
1279	57037	32083
1280	57076	32036
1281	57116	31988
1282	57155	31941
1283	57193	31893
1284	57231	31844
1285	57270	31797
